165,7
117,4
102,4
124,6
95,0
30,2
234,10
85,2
167,14
172,5
188,9
264,19
82,4
196,5
169,4
143,3
181,9
256,10
36,2
216,7
37,0
189,12
98,3
115,3
106,1
237,13
180,15
62,1
86,3
189,9
79,0
74,1
99,2
196,6
91,2
123,5
133,3
128,3
193,6
168,7
182,9
155,14
111,6
101,2
207,9
171,2
65,2
88,1
271,12
83,1
136,4
160,4
138,5
146,4
91,1
113,3
51,0
115,6
102,1
151,4
180,6
134,3
177,11
105,3
168,7
194,6
104,7
116,4
175,7
81,0
186,15
54,2
128,5
191,9
160,9
158,4
180,5
65,1
149,9
74,1
72,1
79,4
102,1
176,6
114,2
180,5
42,0
56,3
122,7
154,7
249,7
120,8
195,9
112,3
94,1
108,2
100,5
190,7
175,9
156,7
