82,1
127,5
181,9
97,3
165,3
81,5
158,5
105,3
35,1
153,8
161,3
61,1
122,10
157,5
172,3
221,6
100,2
114,1
92,2
131,8
118,4
222,5
70,0
119,6
143,7
225,15
104,0
154,5
156,4
157,5
42,0
144,2
92,2
137,7
109,7
38,1
108,3
73,2
50,0
78,2
191,8
101,5
66,1
110,2
100,6
87,2
63,2
157,8
49,0
139,0
31,0
196,12
74,2
148,3
80,0
147,6
162,12
54,1
34,0
95,2
30,0
75,1
136,5
187,11
78,2
67,2
179,5
195,8
41,0
88,1
64,0
88,2
156,8
101,7
130,3
105,2
61,3
25,0
82,1
59,1
136,2
117,4
139,11
198,11
136,2
33,1
106,1
55,1
97,2
75,1
180,3
219,10
113,4
118,3
130,5
87,1
88,1
185,8
130,7
65,2
