motif3_python,motif4_python,motif3_cpp,motif4_cpp,motif3_gpu,motif4_gpu
16.397786,237.93310300000002,3.274643,66.422926,1.44531,6.585615
16.307315,238.938897,3.275928,68.371966,1.291992,6.719723
16.172574,244.321599,3.723895,68.717018,1.496622,6.724218
15.582665,240.828006,3.467929,67.518499,1.416859,6.380151
16.435919,240.843988,3.555796,68.863243,1.474169,6.470185
