370700,1091130,102796,26944,4717,74
576472,1724496,209546,51418,12792,272
401542,1214497,125303,30868,6460,106
476372,1431493,159848,39696,8879,189
419937,1279535,139446,33048,7689,145
522435,1558035,183719,44596,10917,211
517632,1552007,172274,44195,9653,166
492554,1468821,158808,41188,8453,154
505406,1515366,166613,42918,9267,148
497591,1475858,162394,42259,8961,152
509492,1535789,183820,43895,11022,207
456909,1374790,140938,37462,7045,123
415925,1255059,136110,32470,7262,133
545520,1622673,186748,47263,10672,219
492300,1476716,158792,41580,8409,139
428140,1291702,137725,33834,7391,135
581012,1742472,211463,51946,12889,256
562727,1678176,198292,49677,11692,227
549868,1666257,200435,48266,12004,242
489943,1471370,170129,41283,9578,197
482506,1431973,156563,40089,8518,137
454392,1360003,143861,36626,7678,138
386525,1160609,117713,29039,5920,105
544299,1631064,183383,47383,10088,196
486823,1474215,169645,40668,9651,197
494175,1475979,168111,41772,9565,179
389824,1155071,120317,29093,6215,107
449776,1346299,134672,35983,6646,111
463083,1391382,152811,37718,8476,144
383512,1126455,115109,28038,5832,105
517396,1549280,175803,44483,9921,201
416214,1245102,128463,32144,6545,109
503209,1510015,164170,42526,8903,160
486949,1470479,155893,40951,8317,134
501138,1516933,174671,42238,9962,198
495254,1468485,165261,41957,9370,168
414448,1241412,131663,31868,6974,117
491444,1461859,166611,41276,9463,181
454073,1380430,147995,37113,8061,127
502982,1511183,171184,42530,9709,195
593605,1772880,214887,53455,13105,253
494290,1478753,164653,41613,9262,168
482340,1440549,166860,39687,9681,194
587558,1747827,195830,52655,10689,200
546521,1634489,192197,47848,11202,201
604080,1812978,230948,54537,14538,310
430957,1295000,138375,34167,7419,137
487962,1469357,157924,40554,8640,150
479027,1457116,159555,39946,8759,157
383200,1145487,120082,28391,6289,104
403629,1225730,131752,30896,6952,119
439283,1325457,141334,35250,7699,120
426097,1268128,137710,33126,7392,141
497414,1493597,162977,41935,9022,150
463443,1399290,162571,38131,9507,191
447583,1340547,139738,35995,7328,122
452839,1355908,146364,36721,7773,126
516062,1540233,174924,44214,9665,177
560737,1675611,193122,49447,10908,184
416991,1255989,128063,32782,6427,102
480905,1441226,150003,40140,8050,121
582909,1746613,209397,52159,12470,204
395986,1173224,123363,29585,6496,98
539800,1614291,192386,47265,11623,251
479135,1452391,170432,40187,9998,210
486327,1438698,156386,40445,8450,155
621136,1850774,225508,56538,13873,275
362769,1077977,103080,26052,4767,71
493249,1469440,160167,41011,8855,150
408978,1213107,124673,31402,6374,93
438394,1285946,129351,34523,6495,100
544632,1623260,180910,47706,9975,175
479930,1438456,148429,39895,7633,110
474379,1437614,157910,39314,8812,153
431722,1317781,137533,34394,7117,115
506635,1517368,175223,43373,9947,194
455522,1361287,150140,36909,8322,149
492383,1484859,167504,41385,9449,159
545825,1641636,198147,47910,11910,239
596120,1767492,206724,54024,12044,199
480049,1429164,154069,39582,8407,173
479603,1437854,155521,39671,8500,149
461178,1360304,139989,37465,7236,118
382497,1156576,120038,28271,6224,110
416127,1254310,131809,32365,6757,120
503619,1511365,172551,42262,9779,190
555584,1665612,197144,48620,11803,226
491257,1478161,161978,41273,8719,156
496443,1488977,174055,41885,10165,199
443043,1351714,155884,35654,8994,215
491221,1482420,165986,40756,9198,174
487945,1459235,160829,41045,8946,167
580796,1742396,217825,51752,13507,308
434411,1309183,145612,34221,8122,187
380405,1122993,108055,27985,5058,63
496930,1501224,171422,41837,9803,164
511088,1533758,173776,43947,9886,183
438900,1325581,145525,35146,7835,148
512985,1560730,184964,43688,10959,215
421111,1270222,136598,32804,7162,140
473384,1418771,152071,39141,8064,131
527765,1579219,172927,45227,9603,160
534161,1618133,179493,46640,9859,182
405762,1222405,122835,31095,6092,102
677302,1999941,254075,62959,15936,316
419180,1256680,129838,32710,6746,114
466742,1391875,143620,38401,7562,124
448796,1350247,148056,36299,8026,139
437662,1314752,142556,34918,7653,137
531078,1595092,173633,45783,9337,178
463173,1411152,150870,37766,8108,127
499288,1494226,176489,42236,10437,198
396501,1177632,119277,29800,6004,85
440886,1342065,140256,35335,7213,112
659240,1954106,263193,60910,17487,404
420751,1262157,132025,32965,6922,116
530349,1608974,191537,46444,11411,226
470633,1420050,160021,39119,9067,173
593211,1772825,208627,53366,12297,248
494232,1489767,162944,41607,8866,144
520979,1578526,173790,44965,9545,181
455606,1389294,155795,37191,8687,170
433716,1298847,141090,34221,7512,136
542608,1627708,192233,47541,11453,238
548478,1647832,194866,47780,11393,251
451158,1382020,155427,37108,8784,173
605030,1808532,218379,54425,13271,221
493233,1486845,170800,41488,9813,197
484127,1443406,158526,40340,8780,169
495798,1502161,163999,41721,9001,155
593406,1782806,208481,53233,12121,246
510065,1540414,175111,43140,9992,174
534266,1596717,177972,46266,9856,169
491430,1465932,157428,41030,8352,154
550792,1649459,197609,48285,11658,244
494648,1500732,158543,41735,8507,132
471666,1415170,154124,38399,8561,141
426456,1288635,136901,33734,7329,125
440271,1332278,137183,35944,6938,98
527676,1589439,179222,45749,9970,189
456449,1392013,152398,37464,8261,156
488326,1460969,162234,40562,9007,163
514670,1547432,179037,44191,10161,188
496879,1504025,162752,42028,9013,144
477367,1429171,168694,39798,9847,204
467999,1410630,155048,38567,8428,153
559016,1681805,201948,49503,12005,235
390837,1185780,128397,29321,6849,114
451161,1335334,139847,36306,7316,100
555708,1668479,194560,48825,11339,217
469255,1417756,158856,38515,8963,158
462145,1398118,151060,37939,8251,161
550863,1639404,196219,48420,11776,220
524876,1583782,181330,45630,10239,214
515718,1547741,181585,43775,10666,172
387008,1153916,116420,29055,5838,89
435917,1313680,139217,35061,7403,131
440492,1317367,142534,35040,7578,128
496648,1491674,167176,41509,9465,168
450798,1340798,147289,36581,7957,158
492431,1489663,178679,41683,10757,229
484953,1473146,162360,40378,9039,133
396173,1185895,121294,29930,6094,100
578680,1739076,213432,51113,12864,283
611515,1809560,212424,55503,12444,217
371531,1108804,115479,27221,5919,107
552236,1661708,194390,48724,11412,211
469487,1411580,154344,38793,8156,146
532194,1602160,195388,46297,11873,250
435583,1310664,143667,34542,8049,147
462562,1377915,163317,37782,9616,191
527115,1583280,194064,45551,11731,269
492146,1487286,151073,41480,7699,131
505044,1517773,182502,42695,10776,209
492386,1486052,164783,41113,9022,152
511924,1533810,173400,43955,9734,190
437550,1309763,131431,34880,6590,122
477802,1450589,161923,39674,9061,197
