107,3
212,8
78,2
161,6
45,2
86,2
158,2
63,1
86,8
151,3
173,5
46,0
76,2
93,3
87,3
58,1
79,1
177,2
63,3
83,3
115,5
102,2
99,3
106,6
109,1
255,4
123,5
100,0
202,9
158,5
147,5
77,2
127,3
216,6
85,0
104,6
149,7
77,4
132,5
132,5
164,12
82,6
148,4
112,4
129,4
150,1
105,3
288,16
110,1
167,7
157,7
186,10
66,0
153,8
228,12
91,3
93,1
131,4
103,0
156,6
80,3
94,3
98,1
134,5
131,2
149,2
176,7
224,7
77,2
65,2
90,3
118,4
145,2
102,5
81,3
96,2
60,2
107,2
115,2
159,7
139,7
186,6
53,0
247,15
77,1
124,4
124,10
237,8
111,3
111,3
146,3
101,6
86,3
136,7
121,4
192,5
167,5
129,4
117,3
80,2
